name;year;mileage;fuel;capacity;gearbox;price;currency
Citroen Jumpy HDi 125 FAP L1 Multispace Attraction;2014;265000 km;Diesel;1,997 cc;Manual;4750,00;EUR
Mercedes Benz 124type 230 E 124;1985;190000 km;Petrol;2,299 cc;Automatic;7750,00;EUR
Mercedes Benz 500 SL Airco Automaat Marge SL 500;1991;107000 mi;Petrol;4,973 cc;Automatic;13750,00;EUR
Mercedes Benz sprinter 311cdi airco 9 persoons l3h2;2008;470000 km;Diesel;2,148 cc;Automatic;6500,00;EUR
Mercedes Benz 200 E 124 type automaat 157000km;1989;157000 km;Petrol;1,996 cc;Automatic;7750,00;EUR
Jeep JEEP WRANGLER 4x4 cabrio;1997;160000 km;LPG;2,464 cc;Manual;9750,00;EUR
Ford Ranger Doppelkabine 4x4 Wildtrak;-;33500 km;Diesel;3,198 cc;Automatic;24900,00;EUR
Renault Trafic Kasten L1H1 2,7t Komfort;-;6900 km;Diesel;1,598 cc;Manual;14900,00;EUR
Ford Mondeo TDCI AC-CLIME Mondeo;2006;238000 km;Diesel;1,998 cc;Manual;650,00;EUR
Fiat 500 1.2 Lounge Aut.NAP Airco,Leer,Pano,Pdc;2010;52281 km;Petrol;1,242 cc;Automatic;7250,00;EUR
Volkswagen PASSAT Variant 1.6 TDI Diesel Trekhaak- climat control A/C- Navi passat;2015;159000 km;Diesel;1,598 cc;Manual;14900,00;EUR
Opel Zafira 1.8-16V Selection Airco 7 persoons apk verlopen;2002;190913 km;Petrol;1,796 cc;Manual;950,00;EUR
Opel Astra Sports Tourer 1.4 Turbo Business + nap airco;2013;149284 km;Petrol;1,362 cc;Manual;8250,00;EUR
Opel CORSA 1.2 16v Strada 5drs. - APK Jan. 2021 - 7120;1999;241846 km;Petrol;1,199 cc;Manual;650,00;EUR
Skoda Octavia Combi 1.5 TSI 110kW Ambition Navi;2018;41153 km;Petrol;1,498 cc;Manual;7500,00;EUR
Toyota Aygo TÜV NEU;-;85000 km;Petrol;998 cc;Manual;2999,00;EUR
Mercedes Benz E 320 Avantgarde 7 zitter;1998;112500 km;Petrol;3,199 cc;Automatic;4750,00;EUR
BMW 325I;1993;55205 km;Petrol;2,493 cc;Automatic;5750,00;EUR
Ford TRANSIT/TOURNEO;2007;334039 km;Diesel;2,198 cc;Manual;4950,00;EUR
BMW 7-serie 740Le iPerformance High Executive - Ex. Minister auto! - € 29.95...;2016;210090 km;Hybrid;1,998 cc;Automatic;29950,00;EUR
Kia SORENTO 2.5;2003;256000 km;Diesel;2,497 cc;Manual;2250,00;EUR
Volkswagen Touran 1.6 FSi Business Airco;2006;254323 km;Petrol;1,598 cc;Manual;1650,00;EUR
Toyota Verso 2.0 D-4D Aspiration 7-pers. Navi/Climate;2012;217799 km;Diesel;1,998 cc;Manual;4900,00;EUR
Volkswagen Golf Variant 1.4 TSI 118kW Highline Panorama;2011;128175 km;Petrol;1,390 cc;Manual;5300,00;EUR
Mercedes Benz E 200;2002;254000 km;Diesel;2,148 cc;Manual;1250,00;EUR
Toyota AVENSIS 1.8 T27 7 PLACES/ZITTEN;2009;160000 km;Petrol;1,798 cc;Automatic;6750,00;EUR
Ford FOCUS 1.6i Futura Wagon - 7119;2004;227064 km;Petrol;1,596 cc;Manual;1250,00;EUR
Volkswagen Golf V Lim. United    Wildschaden;-;193560 km;Petrol;1,390 cc;Manual;1690,00;EUR
Volkswagen T6 Bus Multivan Generation Six 4Mot  neuer Motor;-;145000 km;Diesel;1,968 cc;Automatic;22328,00;EUR
Mercedes Benz G-klasse 400 CDI Machtige V8 Turbo diesel Young Timer;2005;197841 km;Diesel;3,996 cc;Automatic;31950,00;EUR
Opel Vectra 2.2-16V Comfort AUTOMAAT AIRCO;2002;112991 km;Petrol;2,198 cc;Automatic;3499,00;EUR
Audi A5 Sportback 2.0 TDI / XENON / ACC;2015;195613 km;Diesel;1,968 cc;Automatic;14450,00;EUR
Mazda 5 1.8 , Airco , 7 seats;2007;281244 km;Petrol;1,798 cc;Manual;1750,00;EUR
Renault Twingo 1.2 , Airco;1999;261305 km;Petrol;1,149 cc;Manual;950,00;EUR
Opel Astra 1.6 GL;1999;124409 km;Petrol;1,598 cc;Manual;1399,00;EUR
Opel Corsa 1.2-16V Business;2008;174442 km;Petrol;1,229 cc;Manual;3399,00;EUR
Alfa Romeo Giulietta 1.7 TBi Quadrifoglio Verde 240PK (climate control - cruise con...;2013;115536 km;Petrol;1,742 cc;Manual;14900,00;EUR
Fiat Panda 0.9 TwinAir Young (airco - electr. ramen - radio/cd/mp3);2014;102554 km;Petrol;964 cc;Manual;5950,00;EUR
Opel Vectra B cc , 1.6 16V;1998;264022 km;Petrol;1,598 cc;Manual;1250,00;EUR
Volkswagen GOLF 1.6 TDI BM VARIANT;2012;83639 km;Diesel;1,598 cc;Automatic;5450,00;EUR
Volkswagen TRANSPORTER 9P DSG;2013;288935 km;Diesel;1,968 cc;Automatic;6950,00;EUR
Nissan Almera 1.5 SLX , Airco;1997;260764 km;Petrol;1,498 cc;Manual;950,00;EUR
Mercedes Benz C-Klasse Lim. C 200 Kompressor Automatik / Navi;-;241000 km;Petrol;1,796 cc;Automatic;2700,00;EUR
Volkswagen Tiguan Sport & Style 4Motion;2012;160000 km;Diesel;1,968 cc;Automatic;11750,00;EUR
Audi A4 Avant, Navi, Sitzheizung, Bussines-Paket;-;190302 km;Diesel;1,968 cc;Manual;11700,00;EUR
Toyota Aygo 1.0-12V Cool;2011;198795 km;Petrol;998 cc;Manual;2850,00;EUR
Peugeot 308 CC HDi FAP 140 Premium *Ahk*PDC*Alu*;-;116000 km;Diesel;1,997 cc;Manual;6950,00;EUR
Suzuki Swift 1.0;2001;58899 km;Petrol;993 cc;Manual;850,00;EUR
Suzuki Alto 1.0 , Airco;2002;177477 km;Petrol;1,061 cc;Manual;950,00;EUR
Dacia Logan 1.5 DCi , Airco , not running!!;2007;356852 km;Diesel;1,461 cc;Manual;750,00;EUR
Skoda Kodiaq Sportline 1.5 TSI DSG NAVI/TREKHAAK/STOELVERW.;2020;1013 km;Petrol;1,498 cc;Automatic;47750,00;EUR
Skoda Octavia Combi 1.6 TDI Greenline Ambition Businessline Diesel kan al bij ...;2015;78834 km;Diesel;1,598 cc;Manual;13900,00;EUR
Opel Corsa 5-Drs 1.4 Turbo OPC-Line;2013;82617 km;Petrol;1,400 cc;Manual;4500,00;EUR
Opel Meriva 1.8-16V Cosmo Climate 92kW;2004;188429 km;Petrol;1,796 cc;Manual;1250,00;EUR
Mazda 5 1.8 Touring 7 PERSOONS ,APK JUNI 2021, CLIMATE CONTROLE;2005;273196 km;Petrol;1,798 cc;Manual;2450,00;EUR
Mazda CX-9 3.7 GT-L LPG G3 7 Persoons PRACHTIGE AUTO!;2008;172192 mi;LPG;3,726 cc;Automatic;8500,00;EUR
Alfa Romeo 159 1.9 JTS Distinctive;2006;218932 km;Petrol;1,859 cc;Manual;2999,00;EUR
Ford EcoSport 1.0 EcoBoost Trend 125PK (airco - ML- electr. ramen - radio/cd ...;2015;34416 km;Petrol;998 cc;Manual;12700,00;EUR
Nissan X-Trail SE 4X4;2011;169000 km;Diesel;1,994 cc;Automatic;9999,00;EUR
Nissan Micra Visia;2009;122000 km;Petrol;1,240 cc;Manual;2950,00;EUR
Opel Signum 3.2 V6 Cosmo;2004;296116 km;Petrol;3,175 cc;Manual;999,00;EUR
Peugeot 107 1.0-12V Black & Silver 5-Deurs | Airco | Alcantara | Privacy Glass |...;2012;137260 km;Petrol;998 cc;Manual;4190,00;EUR
Opel Corsa 1.0 Turbo Innovation OPC-Line | Carplay | Dealer onderhouden | Air...;2017;16246 km;Petrol;999 cc;Manual;11990,00;EUR
Audi Q5 3.0 tdi v6 S-line S-tronic;2015;121353 km;Diesel;2,967 cc;Automatic;29950,00;EUR
BMW 730i OLDTIMER;-;272596 km;Petrol;2,986 cc;Automatic;7900,00;EUR
Mercedes Benz E 220 d DRIVE PILOT - Widescreen;-;124237 km;Diesel;1,950 cc;Automatic;23500,00;EUR
Mini Mini 1.6 Cooper Chili cabrio airco;2004;162192 km;Petrol;1,598 cc;Manual;4650,00;EUR
Ford Transit Custom 310L L2 H1 2.0 TDCI 130pk Trend 9-persoons Airco Cruise P...;2017;101152 km;Diesel;1,997 cc;Manual;17850,00;EUR
BMW 3-serie Coupé 320Ci Executive;2001;306681 km;Petrol;2,171 cc;Manual;2200,00;EUR
Renault ESPACE TCE 200 PK Initiale Paris, 7 Pers.DVD, 1e eigenaar;2017;46551 km;Petrol;1,618 cc;Automatic;32750,00;EUR
Opel Astra 1.6-16V Centennial airco 5 deurs;1999;259690 km;Petrol;1,598 cc;Manual;999,00;EUR
Ford Focus 1.6-16V Ghia;1999;203228 km;Petrol;1,596 cc;Manual;999,00;EUR
Fiat Panda 0.9 TwinAir Edizione Cool (airco - electr. ramen voor - radio/cd -...;2014;71882 km;Petrol;964 cc;Manual;6840,00;EUR
Mercedes Benz CITAN TOURER 1090CDI;2016;82000 km;Diesel;1,461 cc;Manual;9900,00;EUR
Mercedes Benz E-Klasse E 220 CDI  9-G-Tronic LED Avantgarde;-;219000 km;Diesel;2,143 cc;Automatic;11200,00;EUR
Volkswagen Golf 7 /VII Variant Trendline BMT 4800,-netto;-;299000 km;Diesel;1,598 cc;Manual;4800,00;EUR
Seat Alhambra Reference 1,4;-;69000 km;Petrol;1,395 cc;Manual;13991,00;EUR
Seat Ateca 2.0 TDI 110kW 4x4   Full link 11200,-netto;-;144000 km;Diesel;1,968 cc;Manual;11200,00;EUR
Mercedes Benz E 200 KOMPRESSOR T ELEGANCE Automatic;-;225000 km;Petrol;1,796 cc;Automatic;3990,00;EUR
Mercedes Benz E-Klasse Lim. E 200 Kompressor Elegance;-;181000 km;Petrol;1,796 cc;Automatic;6900,00;EUR
Volkswagen Touareg 3.0 V6 TDI Tiptronic BMT NAVI Automatik;-;246000 km;Diesel;2,967 cc;Automatic;11200,00;EUR
Volkswagen Passat Variant 2.0 FSI Highline Climat,Cruise,Pdc,Stoelverwarming;2006;263952 km;Petrol;1,984 cc;Manual;3250,00;EUR
Audi A6 Lim. 2.5 TDI;-;309400 km;Diesel;2,496 cc;Automatic;790,00;EUR
Mercedes Benz SPRINTER €5600 NETTO;2009;524573 km;Diesel;2,148 cc;Manual;6776,00;EUR
Mercedes Benz C-klasse C 180 Exclusive Int. & Ext. / Stoelverwarming / Spoorassistent ...;2015;90420 km;Petrol;1,595 cc;Automatic;22900,00;EUR
Mercedes Benz V-klasse 250d Extra Lang Avantgarde L3H1 XL CAMERA NAVIGATIE CRUISE CONT...;2019;25000 km;Diesel;2,143 cc;Automatic;41900,00;EUR
Mercedes Benz V-klasse 250d Extra Lang Avantgarde L3H1 XL CAMERA NAVIGATIE CRUISE CONT...;2019;26000 km;Diesel;2,143 cc;Automatic;41900,00;EUR
Mercedes Benz C-Klasse 240 ,combi ,;1998;341930 km;Petrol;2,398 cc;Automatic;1250,00;EUR
Saab 9-3 Sport Sedan 1.9 TiD Linear;2008;179967 km;Diesel;1,910 cc;Manual;5745,00;EUR
Audi A6 3.0 TDI (DPF) tiptronic quattro Avant;-;381506 km;Diesel;2,967 cc;Automatic;6285,00;EUR
Skoda Rapid Spaceback 1.2 TSI Greentech Edition | Navigatie | Airco | Trekhaak...;2015;144031 km;Petrol;1,197 cc;Manual;8990,00;EUR
Toyota LAND CRUISER 90 SERIES;1999;335490 km;Diesel;2,982 cc;Manual;4500,00;EUR
Maybach 57 57;2004;162000 km;Petrol;5,513 cc;Automatic;62500,00;EUR
Hyundai I20 5 Deurs Airco Prachtige auto;2010;200552 km;Petrol;1,248 cc;Manual;3450,00;EUR
Ford Focus Wagon 1.6 TDCI Lease Trend Prachtige staat Apk Mei 2021;2014;187091 km;Diesel;1,560 cc;Manual;5999,00;EUR
Lancia Delta 1.4-16V Oro;2009;227599 km;Petrol;1,368 cc;Manual;3500,00;EUR
Mazda 6 2.0 CiTD Touring II Dealer onderhouden.;2005;277918 km;Diesel;1,998 cc;Manual;1499,00;EUR
Skoda Octavia Combi 1.2 TSI Ambition Business Line Apk maart 2021 Nette auto;2010;221251 km;Petrol;1,197 cc;Manual;4250,00;EUR
Toyota Land Cruiser PRADO 150;2014;140627 km;Diesel;2,982 cc;Automatic;24000,00;EUR
Toyota Land Cruiser PRADO 150;2014;130000 km;Diesel;2,982 cc;Automatic;24000,00;EUR
Toyota Land Cruiser PRADO 150;2014;130000 km;Diesel;2,982 cc;Automatic;24000,00;EUR
Toyota Land Cruiser PRADO 150;2014;130000 km;Diesel;2,982 cc;Automatic;24000,00;EUR
Opel Tour 1.6 Njoy Apk Aug. 2021 Airco;2002;180835 km;Petrol;1,598 cc;Manual;2750,00;EUR
Peugeot 106 1.6 Rallye S2;-;254000 km;Petrol;1,587 cc;Manual;2950,00;EUR
Fiat Croma 1.9 JTD Corporate;2008;195398 km;Diesel;1,910 cc;Automatic;2900,00;EUR
Volvo XC60 Momentum 2WD*Navi*T-Leder*EURO6*;2014;179900 km;Diesel;1,969 cc;Manual;13534,00;EUR
Mercedes Benz G 63 AMG Mod. 2020*Auslieferung*Sofort*;-;25 km;Petrol;3,982 cc;Automatic;179998,00;EUR
Skoda Octavia Combi Classic;-;223990 km;Diesel;1,598 cc;Manual;3353,00;EUR
Fiat Punto Evo 0.9 TwinAir Turbo Sempre 100 PK | Navigatie | Cruise Control |...;2018;21514 km;Petrol;875 cc;Manual;11890,00;EUR
Volkswagen T-Roc Design 1.0 TSI 85 kW / 115 PK;2018;52959 km;Petrol;999 cc;Manual;23500,00;EUR
Skoda Octavia Combi 1.4 TSI Greentech Style Business NAVI/PANO/CAMERA/XENON;2017;42202 km;Petrol;1,395 cc;Automatic;22800,00;EUR
Mercedes Benz C200 CDI AUTOMAAT*ZETELVERWARMING*NAVI*;2013;70993 km;Diesel;2,143 cc;Automatic;14900,00;EUR
Mercedes Benz B 180 parktronic*automatic*navi;2014;64790 km;Petrol;1,595 cc;Automatic;12400,00;EUR
Mercedes Benz E220 Verwarmde zetels*parktronic*navigatie;2016;36391 km;Diesel;1,950 cc;Automatic;35000,00;EUR
Seat Leon Comfort Limited;-;177000 km;Diesel;1,896 cc;Automatic;2999,00;EUR
Opel MOKKA X 4X4 Turbo 140 PK, Leder, Navi, Automaat;2016;70901 km;Petrol;1,364 cc;Automatic;17950,00;EUR
Nissan Micra 1.4 , Airco;2002;196981 km;Petrol;1,348 cc;Manual;750,00;EUR
Volkswagen POLO POLO GT 1.4 TSI BMT + NAVI + PANO + CAMERA + FULL+ MARGE;2015;71000 km;Petrol;1,395 cc;Manual;13950,00;EUR
Suzuki Swift 1.2 Base;2011;122573 km;Petrol;1,242 cc;Manual;4750,00;EUR
Opel Insignia 1.6 T Sport;2010;107906 km;Petrol;1,598 cc;Manual;9499,00;EUR
Skoda Karoq Style 1.5 TSI DSG NAVI/TREKHAAK/LED;2020;1023 km;Petrol;1,498 cc;Automatic;35900,00;EUR
Mercedes Benz E-Klasse E280 CDI SPORT Advandgarde NIEUWSTAAT;2007;363000 km;Diesel;2,987 cc;Automatic;8900,00;EUR
Mercedes Benz Viano 2.2 CDI Trend Lang;2007;191000 km;Diesel;2,148 cc;Automatic;11950,00;EUR
Opel Corsa 1.2-16V Business;2008;175002 km;Petrol;1,229 cc;Manual;2949,00;EUR
Hyundai I30 CW 1.4i i-Drive Cool;2011;137661 km;Petrol;1,396 cc;Manual;5749,00;EUR
Mercedes Benz SPRINTER 313 CDI LANG AIRCO;2010;323424 km;Diesel;2,143 cc;Manual;4450,00;EUR
Chevrolet Epica 2.5i Executive BOMVOL OPTIES 1e eigenaar!;2006;114063 km;Petrol;2,492 cc;Automatic;2999,00;EUR
Mercedes Benz V-KLASSE 250 CDI marge 8-persoons;2014;271526 km;Diesel;2,143 cc;Automatic;29900,00;EUR
Kia Optima 1.7CRDI Optima 1.7CRDI Euro5b;2014;110500 km;Diesel;1,685 cc;Automatic;12500,00;EUR
Volkswagen Caddy Maxi 1.6 Comfortline 7p. Apk feb. 2021;2010;216645 km;Petrol;1,595 cc;Manual;8000,00;EUR
Suzuki Swift 1.5 Exclusive Airco;2007;247009 km;Petrol;1,490 cc;Manual;1400,00;EUR
Opel Mokka Innovation ecoFlex vast Voll ausstatung;2013;113000 km;Diesel;1,686 cc;Manual;9999,00;EUR
Alfa Romeo Spider 1.8 TBI PKW Cabrio;2009;44500 km;Petrol;1,742 cc;Manual;19900,00;EUR
Renault Clio 1.5 dCi Zen AUTOMAAT  NAVI KLIMA;2017;126823 km;Diesel;1,461 cc;Automatic;4500,00;EUR
Opel Astra 1.6 CDTI 81KW BSN SPORTS TOURER NAVI KLIMA;2016;151702 km;Diesel;1,598 cc;Manual;4950,00;EUR
Volkswagen Beetle Lim. 2.0;-;212000 km;Petrol;1,984 cc;Manual;690,00;EUR
Volkswagen T5 Transporter Kasten 1,9 TDi Anhängerkupplung;2006;354000 km;Diesel;1,896 cc;Manual;2500,00;EUR
Toyota Avensis Wagon 2.0 D-4D EXECUTIVE AIRCO NIEUWE APK;2005;379234 km;Diesel;1,995 cc;Manual;2400,00;EUR
Mercedes Benz SPRINTER;2012;356618 km;Diesel;2,143 cc;Manual;8950,00;EUR
Renault Mégane Scénic 2.0 , Airco;2001;267839 km;Petrol;1,998 cc;Manual;750,00;EUR
Opel Agila 1.2-16V Color Edition Hoge instap;2003;201029 km;Petrol;1,199 cc;Manual;1250,00;EUR
Suzuki Splash 1.0 VVT Comfort airco;2011;112682 km;Petrol;996 cc;Manual;4799,00;EUR
Kia KIA RIO 1.3 RS Visto Sedan - Airco - 7116;2004;155919 km;Petrol;1,343 cc;Manual;1250,00;EUR
Nissan Micra 1.3 SE , Airco;1999;133522 km;Petrol;1,275 cc;Manual;750,00;EUR
Toyota Aygo 1.0-12V Access airco (airco - radio/cd/mp3/AUX;2010;173770 km;Petrol;998 cc;Manual;3340,00;EUR
Ford Transit Kombi 300S 2.0TDdi 9 PERS/ APK;2004;297790 km;Diesel;1,998 cc;Manual;2195,00;EUR
Skoda Fabia 1.2 Active (radio/cd - trekhaak);2013;66674 km;Petrol;1,198 cc;Manual;5850,00;EUR
BMW 740D XDRIVE INDIVIDUAL DVD-ENTERTAINMENT;2013;151746 km;Diesel;2,993 cc;Automatic;23950,00;EUR
Mitsubishi Colt 1.5 Invite Nette auto!;2005;223835 km;Petrol;1,499 cc;Manual;1750,00;EUR
Volkswagen T5 Bus Multivan Highline;2014;183000 km;Diesel;1,968 cc;Automatic;24900,00;EUR
Land Rover Discovery Sport TD4 Pure;-;45700 km;Diesel;1,999 cc;Manual;19784,00;EUR
Audi A5 2.0 TDI DPF S-Line *Navi*Teil-Leder*Alu*;-;85000 km;Diesel;1,968 cc;Automatic;17999,00;EUR
Land Rover Range Rover Sport SDV6 HSE Dynamic *Pano-Dach*;-;197000 km;Diesel;2,993 cc;Automatic;28017,00;EUR
Skoda Fabia Combi 1.2 TDI Greenline Businessline;2013;179729 km;Diesel;1,199 cc;Manual;6900,00;EUR
Peugeot 206 SW 1.4-16V XS (airco - trekhaak - electr. ramen voor - radio-cd);2004;136678 km;Petrol;1,360 cc;Manual;2740,00;EUR
Toyota Land Cruiser 150 (J15) 2.8D Grijs kent. Airco Keyles entry;2017;34422 km;Diesel;2,755 cc;Manual;33820,00;EUR
Porsche Panamera GTS Matrix/ACC/Head-Up/Softclo/21Turbo;-;6700 km;Petrol;3,996 cc;Automatic;109159,00;EUR
Opel VIVARO 9-Persoons 2.0 CDTI L1H1 Airco;2011;214396 km;Diesel;1,995 cc;Manual;8000,00;EUR
Mercedes Benz Sprinter II Kasten 319 V6 3,0 CDI;2014;374000 km;Diesel;2,987 cc;Manual;13804,00;EUR
Opel Zafira 1.8 111 years Edition airco-nap;2010;184422 km;Petrol;1,796 cc;Manual;5749,00;EUR
Chevrolet Kalos 1.4 Spirit 5 Deurs Airco Apk Dec. 2020;2005;176277 km;Petrol;1,399 cc;Manual;1450,00;EUR
Peugeot 206 SW 1.4 Pop Art 55kW;2004;255901 km;Petrol;1,360 cc;Manual;700,00;EUR
Honda Civic HYBRID 1.3 Automaat Airco;2008;330962 km;Hybrid;1,300 cc;Automatic;2450,00;EUR
Peugeot 206 SW 1.6-16V XS;2003;229721 km;Petrol;1,587 cc;Manual;600,00;EUR
Mercedes Benz Vito 9 persoons XXL autm 113 CDI 343 incl btw (aftrekbaar) 15999 excl;2013;165000 km;Diesel;2,143 cc;Automatic;19350,00;EUR
Mercedes Benz Vito 113 CDI 343 9 persoons XXL excl btw;2013;165000 km;Diesel;2,143 cc;Automatic;15999,00;EUR
Skoda Rapid 1.6 TDI Greentech Style;2016;85483 km;Diesel;1,596 cc;Manual;12900,00;EUR
Nissan QASHQAI + Manual + airco + navi;2013;40956 km;Petrol;1,598 cc;Manual;11950,00;EUR
"Volkswagen Golf 2.0 TSI GTI Performance 19 "" LED Navi Camera Facelift";2017;47944 km;Petrol;1,984 cc;Manual;24500,00;EUR
Mercedes Benz GLA-klasse GLA 180 Business Solution AMG Automaat;2019;15556 km;Petrol;1,595 cc;Automatic;33900,00;EUR
Mercedes Benz GLA-klasse GLA 180 Sport Edition AMG Line Automaat;2019;502 km;Petrol;1,595 cc;Automatic;39900,00;EUR
Mercedes Benz CLA-klasse CLA 180 Progressive / Advantage pack / Apple Carplay;2020;4085 km;Petrol;1,332 cc;Automatic;39900,00;EUR
Mercedes Benz G 320 CDI 5 deurs Lang Facelift;2007;235000 km;Diesel;2,987 cc;Automatic;36950,00;EUR
Toyota Land Cruiser 120 3.0 D-4D Executive;2005;304370 km;Diesel;2,982 cc;Automatic;9950,00;EUR
Volkswagen Caddy maxi 1.9 TDI Rolstoel vervoer Airco;2009;456219 km;Diesel;1,896 cc;Manual;2950,00;EUR
Ford Ka 1.2 Trend (radio/cd/mp3 - electr. ramen voor - centr.deurvergr. met a...;2009;129360 km;Petrol;1,242 cc;Manual;3450,00;EUR
Opel Grandland X 1.2 Turbo Automaat 120 Jaar Edition (airco - cruise control ...;2019;10965 km;Petrol;1,199 cc;Automatic;29900,00;EUR
Mercedes Benz SPRINTER 315 CDI LANG AIRCO;2009;251340 km;Diesel;2,148 cc;Automatic;4250,00;EUR
Volvo XC90 2.0 T8 Twin Engine AWD Momentum | 7 PERS. | PANO-DAK | LUCHTVERING ...;2015;203016 km;Hybrid;1,969 cc;Automatic;28950,00;EUR
Audi A1 Ambition;-;83600 km;Petrol;1,390 cc;Manual;7990,00;EUR
