name;year;mileage;capacity;fuel;other;price;currency
Case IH MAXXUM 125;2010;0;0;;[];14000.0;PLN
Caterpillar 308E2CR;2014;0;0;;[];18900.0;PLN
Fendt Favorit 515 C;2000;0;0;;[];9500.0;PLN
Caterpillar 257D;2016;0;0;;[];16500.0;PLN
Caterpillar 938G;1998;0;0;;[];16400.0;PLN
Hyundai ROBEX 55W-9;2012;0;0;;[];13500.0;PLN
Manitou MLT940-120H LSU;2011;0;0;;[];19000.0;PLN
Volvo ECR145DL;2013;0;0;;[];25000.0;PLN
Case IH FARMALL 105U;2009;0;0;;[];12600.0;PLN
Hamm GRW280-16;2010;0;0;;[];18500.0;PLN
Bobcat 425;2008;0;0;;[];9500.0;PLN
Massey Ferguson 5455;2007;0;0;;[];10600.0;PLN
Caterpillar 226 B;2005;0;0;;[];7800.0;PLN
Kobelco SK35SR-5;2009;0;0;;[];7200.0;PLN
Caterpillar 320C LU;2002;0;0;;[];14600.0;PLN
Caterpillar 906;2005;0;0;;[];9800.0;PLN
Kubota KX057-4;2014;0;0;;[];16400.0;PLN
JCB 409;2014;0;0;;[];13500.0;PLN
Komatsu PC78MR-6;2004;0;0;;[];9500.0;PLN
Komatsu PC80 MR-3;2010;0;0;;[];15000.0;PLN
Caterpillar 907H;2008;0;0;;[];13000.0;PLN
Kubota KX080;2014;0;0;;[];18500.0;PLN
Hitachi ZX30U-2;2008;0;0;;[];9900.0;PLN
Komatsu WA480-6;2011;0;0;;[];18000.0;PLN
Manitou 160ATJ;2007;0;0;;[];9000.0;PLN
Komatsu PC26MR-3;2012;0;0;;[];9300.0;PLN
Bomag BW174AD 4;2006;0;0;;[];10500.0;PLN
Bomag BW177D-4;2008;0;0;;[];18900.0;PLN
Honda FR-V 1.8 VTec 140KM Orygina≥ Bez KOROZJI! SERWIS! OKAZJA!!!;2007;217000 km;1799 cm33;Petrol;[];25500.0;PLN
Honda Civic Honda Civic VIII sedan;2007;441472 km;1799 cm33;Petrol;[];10000.0;PLN
Ford Kuga 1.5 EcoBoost, 182km 4WD Titanium Plus;2015;108600 km;1499 cm33;Petrol;[];69900.0;PLN
Mercedes-Benz Atego  Sprzedam SamochÛd Pomocy Drogowej Osobowe i Busy;2013;261570 km;7201 cm33;;['Atego '];220000.0;PLN
Audi A3 Sprzedam Audi A3 2.0TDI 11.2006.Auto bardzo zadbane;2006;301000 km;1968 cm33;Diesel;[];14900.0;PLN
BMW Seria 5 F11 525d xDrive TwinTurbo 218KM KeyLess. Navi Prof. Efficient Dynamics;2012;221000 km;1995 cm33;Diesel;[];58500.0;PLN
Audi RS7 Audi RS7 B&O Google Maps Dociπgi drzwi APR;2016;70000 km;3993 cm33;Petrol;[];249000.0;PLN
äkoda Superb Skoda Superb Salon Polska, 2,0 TDI 4X4, webasto;2015;154000 km;1968 cm33;Diesel;[];55000.0;PLN
Audi A5 Sportback S line 2.0 TFSI quattro 245 KM S tronic Dealer;2020;10 km;1984 cm33;Petrol;[];288297.0;PLN
Volvo C30 G W A R A N C J A, Niepospolite, P I   K N E, OszczÍdne;2012;108000 km;1560 cm33;Diesel;[];29800.0;PLN
BMW Seria 5 Bmw G31 520d Xdrive M Sport Touring 190km..2018R Alpine White;2018;72000 km;1995 cm33;Diesel;[];168500.0;PLN
Lexus LS 600h, bia≥a per≥a, oryginalny przebieg;2007;181828 km;4969 cm33;;['Hybrid'];59999.0;PLN
Mercedes-Benz 41.41  Mercedes Actros Betonomieszarka LIEBHERR 9m3, Kiper Skibniewski 13m3;2004;550410 km;0;;['41.41 '];165000.0;PLN
BMW Seria 3 318i Touring doinwestowany, prywatnie;2008;252000 km;1995 cm33;Petrol;[];23500.0;PLN
Lamborghini Aventador Lamborghini Aventador LP700 4;2013;60400 km;6498 cm33;Petrol;[];849000.0;PLN
CitroÎn Jumper  163KM L4H2 /1 wl /Bezwypadkowy/ Gwarancja fabryczna /Leasing / F-Vat;2019;14126 km;1997 cm33;;['Jumper '];69900.0;PLN
BMW Seria 6 BMW 6 Gran Coupe 650I X Drive M Pakiet Face Lifting.;2016;46000 km;4400 cm33;Petrol;[];233000.0;PLN
Volkswagen Golf 1.6 TDI 115 KM Comfortline Faktura VAT Gwarancja;2017;149355 km;1598 cm33;Diesel;[];51900.0;PLN
Mercedes-Benz Klasa B Skrzynia automatyczna CVT, chipowany 158km, serwisowany;2007;253500 km;1992 cm33;Diesel;[];19900.0;PLN
Volkswagen Polo VW POLO 6R 2010r. 1.2 TSI 105KM;2010;182600 km;1197 cm33;Petrol;[];21500.0;PLN
äkoda Fabia Bardzo ≥adna FABIA,bezwypadkowy,1 wszy w≥aúciciel ,Salon Polska;2005;238000 km;1198 cm33;Petrol;[];7200.0;PLN
Land Rover Discovery Land Rover III 2008 Oryginalny Przebieg Bezwypadkowy 7 osobowy, Hak;2008;291000 km;2720 cm33;Diesel;[];55000.0;PLN
Mercedes-Benz Klasa S Sprzedam úlicznπ S63 , niski przebieg;2008;150000 km;6208 cm33;Petrol;[];90000.0;PLN
BMW Seria 1 Bezwypadkowy, Stan idealny, 1 w≥aúciciel, Salon polska;2016;109183 km;1995 cm33;Diesel;[];80000.0;PLN
Laverda M306  Pierwszy w≥aúciciel / Bardzo dobry stan / W trakcie pracy!;2003;0;0;;[];169000.0;PLN
BMW X5 2,5d XDRIVE BEZWYPADKOWY, SALON ,M PAKIET pierwszy w≥aúciel, serwis ,;2015;178500 km;2000 cm33;Diesel;[];127000.0;PLN
Audi A6 4x4 SkÛra Navi Fakt.Vat 23%;2013;153000 km;1984 cm33;Petrol;[];53900.0;PLN
SsangYong REXTON REXTON, 4x4, wersja 7 miejscowa, salon Polska;2014;125000 km;1998 cm33;Diesel;[];58000.0;PLN
Volvo V70 S+V70 dla mi≥oúnikÛw marki;2006;245000 km;2435 cm33;Petrol;[];13200.0;PLN
Toyota Corolla Comfort+Tech 1.2 T 116km 2019r Kamera Asystent Park. Salon Plolska!!!;2019;7400 km;1197 cm33;Petrol;[];58900.0;PLN
MG MGB GT oryginalny z 1967 roku po glebokiej profesjonalnej renowacji!;1967;55800 km;1800 cm33;Petrol;[];57000.0;PLN
äkoda Octavia Skoda Octavia led ksenon vat 23;2016;159000 km;1986 cm33;Diesel;[];49900.0;PLN
Audi A3 Wyjπtkowy kabriolet;2018;22000 km;2000 cm33;Petrol;[];119000.0;PLN
Citroen Peugeot FABRYCZNIE NOWE Radio CD Siemens 96624490XT, PSARCD411-52;0;0;0;;['CitroÎn', 'Uk≥ad elektryczny i audio'];149.0;PLN
BMW X5 Pierwszy w≥aúciciel, krajowy, 3.0D XDrive, osoba prywatna, 75tys km;2014;75000 km;3000 cm33;Diesel;[];148000.0;PLN
Audi S4;2017;52600 km;0;Petrol;[];176900.0;PLN
Renault Talisman 160kM prywatnie full led radar automat masaøe duøy monitor;2016;163959 km;1598 cm33;Diesel;[];49800.0;PLN
Mini Clubman Mini Clubman Pierwszy Wlasciciel;2017;59000 km;1499 cm33;Petrol;[];59000.0;PLN
äkoda Superb stan idealny, pierwszy w≥aúciciel;2019;39000 km;1968 cm33;Diesel;[];75741.0;PLN
Volvo V70 super stan, bogate wyposaøenie;2013;500000 km;1560 cm33;Diesel;[];24000.0;PLN
TMT Ruchoma pod≥oga 92m3 Pod≥oga 10 mm 2019 rok  Moøliwy Wynajem;2019;0;0;;[];194000.0;PLN
Ford Ranchero Amazing Ford Ranchero GT 1977;1977;43690 km;6600 cm33;Petrol;[];132999.0;PLN
Opel ORYGINALNE dekielki dekle komplet 4 szt 09223038HX;0;0;0;;['Opel', 'Akcesoria'];55.0;PLN
Porsche Cayenne Porsche Cayenne 3,0 340KM;2019;9960 km;2995 cm33;Petrol;[];368000.0;PLN
BMW Seria 5 BMW 520i (F10) Extra Prywatna Oferta !!!;2014;200000 km;1997 cm33;Petrol;[];66000.0;PLN
BMW 1M E82 coupe 426KM, 604Nm, bardzo szybkie, osoba prv, baza 135i;2009;123189 km;2979 cm33;Petrol;[];60000.0;PLN
Audi S6 AUDI S6 2017 4.0TFSI 450km;2017;46000 km;3999 cm33;Petrol;[];186999.0;PLN
Goldhofer NACZEPA D£UØYCA ROZCI•GANA DO 39m 4-OSIE BPW 2005r  Platforma D≥uøyca Rozciπgana 4 Osie BPW 2005r;2005;0;0;;[];112000.0;PLN
Opel Corsa 1.0 12V Szyberdach , Alufelgi , Zadbany !!!;2000;204200 km;973 cm33;Petrol;[];1950.0;PLN
Kia Stonic 1.0 T GDI 120 KM, manual, Wersja XL + Pakiet BezpieczeÒstwa;2019;990 km;998 cm33;Petrol;[];77900.0;PLN
Ford EDGE 2.0TDCi 210KM*SPORT*Radary*Panorama*AWD*Full Led*Pe≥en Serwis ASO*;2016;198890 km;1997 cm33;Diesel;[];89900.0;PLN
Maserati Levante Maserati Levante! SALON PL!!! Idea≥! 43900km 1w≥!;2017;43900 km;2979 cm33;Petrol;[];343170.0;PLN
Chevrolet Tahoe Chevrolet Tahoe LTZ zamiana najbogatsza wersja , idealny;2011;170000 km;5300 cm33;Petrol+LPG;[];75000.0;PLN
Jaguar XJ 2016 XJL AWD 3.0 V6 340KM 36500 km przebieg CENA DO NEGOCJACJI;2016;36500 km;3000 cm33;Petrol;[];85000.0;PLN
MAZDA 3 BK lift Panel klimatyzacji nawiewÛw 03 06 Europa K1900BP4N;0;0;0;;['Mazda', 'Elementy wnÍtrza'];99.0;PLN
Porsche 911 Turbo S na Gwarancji do 07/2022;2013;86000 km;3800 cm33;Petrol;[];539000.0;PLN
Kymco Agility 16+ 125 4T Euro 4 od MUDDY Warszawa Wyprzedaø rocznika w ASO;2019;1 km;125 cm33;;['Scooter'];8000.0;PLN
Mercedes-Benz Klasa S Sprzedam Mercedesa S klase ZAPRASZAM;2006;222000 km;2987 cm33;Diesel;[];59999.0;PLN
Lag  Stan idealny,niski przebieg,4 komory;2015;0;0;;[];131000.0;PLN
Stokota  Stan bardzo dobry, zaciπg z do≥u, dodatkowe czujniki itp;2005;0;0;;[];85000.0;PLN
Toyota Avensis Toyota Avensis kombi t25 2.0 diesel skÛra alu felgi navi;2007;229000 km;1998 cm33;Diesel;[];18400.0;PLN
Mercedes-Benz Klasa V V 300d 4x4 Exclusive Wyprzedaø Rocznika !!!;2019;11 km;1950 cm33;Diesel;[];269500.0;PLN
BMW Seria 5 BMW Seria 5 F10;2011;132000 km;2993 cm33;Diesel;[];74000.0;PLN
Yamaha X-max Faktura VAT23%, gwarancja, Wroclaw;2019;958 km;125 cm33;;['Scooter'];16000.0;PLN
Mercedes-Benz SLK SLK 200 KOMPESSOR 163KM SkÛry Navi Zadbany;2004;217954 km;1795 cm33;Petrol;[];29950.0;PLN
CF Moto  C FORCE 520 LONG 500 od Muddy Wyprzedaø rocznika w ASO;2017;1 km;500 cm33;;['Quad'];23500.0;PLN
Volkswagen Amarok VW Amarok 2.0 BI Turbo CANYON Higline;2014;195000 km;1968 cm33;Diesel;[];78000.0;PLN
Claas Dominator 108 sl;1998;0;0;;[];99999.0;PLN
BMW X3 wersja xLine !!!;2017;70500 km;2000 cm33;Petrol;[];77000.0;PLN
Audi Q7;2009;203000 km;2967 cm33;Diesel;[];63000.0;PLN
Opel Insignia Opel Insignia 2.0;2010;160000 km;1956 cm33;Diesel;[];23000.0;PLN
Ford Focus Vignale A8.;2019;16000 km;1499 cm33;Petrol;[];92000.0;PLN
Jaguar XF Jaguar XF S 3.0 380 KM;2017;58000 km;2995 cm33;Petrol;[];145000.0;PLN
Mercedes-Benz Klasa E AMG, Bluetec, 9G Tronic, 258KM;2014;193000 km;0;Diesel;[];83900.0;PLN
Opel Insignia 2.0CDTI *COSMO * Virtual Cocpit * Bi xenon * SkÛra * 18 Alu * Navi PL*;2015;208000 km;2000 cm33;Diesel;[];34700.0;PLN
Audi A6 Audi A6 C6;2007;279000 km;2967 cm33;Diesel;[];25500.0;PLN
Lexus GS OKAZJA!!! OFERTA ograniczona czasowo: LEXUS GS450h PRESTIGE, salon PL!;2017;45000 km;3456 cm33;;['Hybrid'];202000.0;PLN
Mercedes-Benz SL Mercedes Benz R107 450 SL 1978R. 85000 km;1978;178000 km;450 cm33;Petrol;[];46000.0;PLN
Volkswagen Tiguan Volkswagen Tiguan I LIFT 1.4 TSI , 4MOTION (4x4);2011;94000 km;1390 cm33;Petrol;[];39000.0;PLN
Case 821E;2008;0;0;;[];120000.0;PLN
Volvo XC 60 volvo xc60 t6;2015;103000 km;2953 cm33;Petrol+LPG;[];84500.0;PLN
Toyota RAV4 Toyota RAV4 2.5 Hybrid SELECTION 4X2 + NAVI + Kamera FULL SERWIS;2017;31304 km;2494 cm33;;['Hybrid'];109900.0;PLN
Mercedes-Benz Klasa E PANORAMA, úwiat≥a ILS full led, AMG Line, 18tki felgi AMG;2013;235000 km;2000 cm33;Petrol;[];61000.0;PLN
Honda Legend Idealna ,salon Polska,pe≥ny serwis ASO, Faktura Vat;2010;257300 km;3664 cm33;Petrol+LPG;[];52000.0;PLN
Peugeot 508 Full opcja ,automat;2011;206300 km;1997 cm33;Diesel;[];30000.0;PLN
Can-Am Maverick X3 DS 172KM, Model 2018;2017;11658 km;900 cm33;;['Quad'];69950.0;PLN
Mercedes-Benz GLC 43AMG Coupe. Salon PL. Pneumatyka. Gwarancja do 03.2022 !;2018;16000 km;2996 cm33;Petrol;[];279900.0;PLN
Jeep Grand Cherokee Jepp Grand Cherokee 5.7 HEMI (PB+ LPG);2013;102000 km;5654 cm33;Petrol+LPG;[];69900.0;PLN
Kymco Downtown New DOWNTOWN 350i ABS Noodoe MUDDY Warszawa Wyprzedaø rocznika w ASO;2019;1 km;320 cm33;;['Scooter'];19500.0;PLN
Seat Leon SEAT LEON III hatchback 5 d Salon Polska.TURBO .zamiana na suw a;2019;37290 km;999 cm33;Petrol;[];45900.0;PLN
Opel MOVANO 2.3 BiTurbo 135KM  WYWROTKA tylnozsypowa L3 2.3 BiTurbo 135KM;2020;1 km;2299 cm33;;['MOVANO 2.3 BiTurbo 135KM '];102800.0;PLN
Opel  Zafira Life Vip 2.0 177KM AT8 wersja 7 os. Long d≥. 4,95 m/rok 2020;2020;8000 km;1998 cm33;Diesel;[];164900.0;PLN
Opel Crossland X CROSSLAND X 120LAT F1.2XE MT5 82KM / Model 2020;2019;10 km;1199 cm33;Petrol;[];73900.0;PLN
Opel Corsa OPEL CORSA EDITION 1.2 Turbo 100KM MT6 Start&Stop;2019;10 km;1199 cm33;Petrol;[];58900.0;PLN
Opel Crossland X CROSSLAND X 120LAT F1.2XE MT5 82KM / bogaty std. !!!;2019;10 km;1199 cm33;Petrol;[];68800.0;PLN
Opel Corsa CORSA EDITION 1.2 Turbo 100KM MT6 Start&Stop ma≥y przebieg;2019;9200 km;1199 cm33;Petrol;[];59900.0;PLN
Volvo S90 Volvo S90 cesja leasingu;2018;72000 km;1969 cm33;Diesel;[];115000.0;PLN
Iveco daily  Iveco 70C18 Wywrotka, Skrzynia, Øuraw, HDS cesja lesasing 46000netto;2020;3000 km;3000 cm33;;['daily '];2311109.0;PLN
BMW X5 BMW X5 E70 3.0 D Polski Salon , 1 W≥aúciciel;2013;160512 km;2993 cm33;Diesel;[];105000.0;PLN
Audi A4 Audi A4B8 1.8T 160KM *2009* Navi * Bixenon/Led !!!;2009;240000 km;1798 cm33;Petrol;[];28900.0;PLN
BMW Seria 3 BMW 3, 316D, F30, 170KM, 350Nm, DRUGI W£. SALON PL;2013;178000 km;1998 cm33;Diesel;[];44900.0;PLN
Volkswagen Amarok Comfortline 3.0 TDI 204 KM 4Motion! Hak, Alarm, Bi ksenon! 2020!;2020;10 km;2967 cm33;Diesel;[];166120.0;PLN
Volkswagen Amarok Aventura 3.0 TDi 258KM! Hak, Alarm, Pakiet Zimowy! OD R KI!;2020;10 km;2967 cm33;Diesel;[];189530.0;PLN
Indian Scout Motocykl INDIAN SCOUT Bobber 1200 Thunder Black Smoke / Salon KRAK”W;2020;1 km;1131 cm33;;['Cruiser'];62900.0;PLN
Volvo XC 90 salon PL FULL opcja Masaø Wentylacja Pneumatyka;2018;170000 km;0;Diesel;[];192000.0;PLN
"MAN ETGE 1.140  Auto podlega dotacji ""E VAN"" Transport na terenie PL GRATIS!!!";2019;4100 km;0;;['ETGE 1.140 '];132900.0;PLN
Volkswagen Amarok Highline 3.0 TDi 204KM! ROCZNIK 2020! OD R KI!;2020;10 km;2967 cm33;Diesel;[];152120.0;PLN
Volkswagen T-Roc Volkswagen T Roc 1,5 TSI 150 koni Premium Full;2018;37097 km;0;Petrol;[];89900.0;PLN
Mercedes-Benz Sprinter 319 cdi 9 miejsc Ready !;2020;99 km;3000 cm33;Diesel;[];245000.0;PLN
Chevrolet Captiva Chevrolet Captiva 2.2 , Automat, Polski Salon;2011;132946 km;2231 cm33;Diesel;[];42900.0;PLN
Fiat DUCATO  FIAT DUCATO III L3H2 Kamera cofania, Webasto,Kierownica wielofunkcyjna;2018;123000 km;2300 cm33;;['DUCATO '];69000.0;PLN
BMW Seria 1 Stan idelany niski przebieg;2008;88000 km;1995 cm33;Diesel;[];31900.0;PLN
Ford C-MAX Energi Plug in HYBRID, automat, ledy, panorama;2017;52880 km;1999 cm33;;['Hybrid'];60900.0;PLN
Volkswagen Golf Volkswagen Golf 7.5 R Variant 515hp/605nm;2017;22000 km;1984 cm33;Petrol;[];165000.0;PLN
Land Rover Discovery Land Rover 4;2013;253770 km;2993 cm33;Diesel;[];67000.0;PLN
Renault Megane Renault Megane Grandtour GT 205 EDC;2017;35500 km;1618 cm33;Petrol;[];82900.0;PLN
MAN F2000  Pompogruszka Man F2000 Cifa 28;2000;283000 km;0;;['F2000 '];150000.0;PLN
CitroÎn Jumper Maxi  2.2 HDI 130 KM Skrzynia 420CM Klima Tempomat;2012;197900 km;2198 cm33;;['Jumper Maxi '];38500.0;PLN
Kverneland Accord S-drill Pro  Agregat uprawowo siewny 4m;2011;0;0;;[];40000.0;PLN
Suzuki Intruder 1400 VS Doinwestowany;1993;74000 km;1400 cm33;;['Chopper'];14900.0;PLN
Mercedes-Benz ATEGO 1318 Serwis Warsztat Mobilny Wulkanizacja Piaskowanie Malowanie Agregat Kompresor årubowy Atlas Copco Mega wydajny Kontener Winda Dopel Kabina 7 OsÛb Bπdz sypialna 100m przy≥πcza 8ton ≥adownoúÊi 139tys Km!!  ATEGO 1318 Serwis Warsztat Mobilny Wulkanizacja Kontener Agregat Kompr;2008;139374 km;4250 cm33;;['ATEGO 1318 Serwis Warsztat Mobilny Wulkanizacja Piaskowanie Malowanie Agregat Kompresor årubowy Atlas Copco Mega wydajny Kontener Winda Dopel Kabina 7 OsÛb Bπdz sypialna 100m przy≥πcza 8ton ≥adownoúÊi 139tys Km!! '];68900.0;PLN
Mercedes-Benz AMG GT Mercedes-AMG GT R  MB Motors Piaseczno;2020;5 km;3982 cm33;Petrol;[];1093799.0;PLN
BMW X5 BMW X5 pierwszy w≥aúciciel salon Polska;2014;185000 km;2993 cm33;Diesel;[];140000.0;PLN
Volkswagen Tiguan Allspace Highline 2.0 TSI 4MOTION DSG R Line Bogate Wyposaøenie;2019;39800 km;1984 cm33;Petrol;[];158000.0;PLN
Land Rover Range Rover Evoque benzyna 2.0, 240 KM! 2017r.;2017;35000 km;2000 cm33;Petrol;[];119999.0;PLN
Renault Megane Renault megane 2013 niski przebieg salon pl;2013;106000 km;1461 cm33;Diesel;[];19900.0;PLN
Alfa Romeo Giulia Alfa Romeo GIULIA;2017;42000 km;1995 cm33;Petrol;[];70000.0;PLN
BMW Seria 8 BMW M850i xDrive;2018;16000 km;4395 cm33;Petrol;[];418000.0;PLN
Audi Q7 AUDI Q7 TFSI wersja Premium Plus;2016;153000 km;3000 cm33;Petrol;[];170000.0;PLN
BMW Seria 7 BMW 750Xi M pakiet full opcja;2018;53000 km;4395 cm33;Petrol;[];289900.0;PLN
Renault Trafic  Vivaro L1H1/ KLIMA / NAVI / KAMERA / TEMPOMAT / Serwis / Gwarancja !!!;2015;93000 km;1600 cm33;;['Trafic '];42900.0;PLN
BMW Seria 3 Op≥acona! 218 koni;2006;143000 km;2497 cm33;Petrol;[];26999.0;PLN
Chevrolet Camaro PiÍkne Camaro;2019;8700 km;6200 cm33;Petrol;[];250000.0;PLN
Mercedes-Benz SL W107 Zabytkowy w idealnym stanie;1981;142500 km;3839 cm33;Petrol;[];90000.0;PLN
Yamaha Majesty Yamaha Majesty 125, stan b. Dobry.;2004;16900 km;125 cm33;;['Scooter'];3700.0;PLN
Nissan Qashqai 2,0 Benzyna Automat4x4 BiXenon NaviKameraSkÛryPanoramaMEGA FUUL UNIKAT;2011;167078 km;1997 cm33;Petrol;[];41900.0;PLN
