name;year;mileage;nr_of_accidents;color_exterior;color_interior;price;currency
Chevrolet Traverse LT with 1LT AWD;2012;126877 miles;0;gold ; black ;8499,00;USD
Acura RDX AWD;2010;109056 miles;3;black ; beige ;7700,00;USD
Mazda Mazda3 Touring 5-Door Automatic;2018;19530 miles;0;gray ; black ;19788,00;USD
Chrysler Town & Country Touring;2014;177152 miles;0;red ; black ;18495,00;USD
Lexus GX GX 460;2013;40424 miles;0;gold ; brown ;29919,00;USD
Land Rover Range Rover Velar P250;2019;21609 miles;0;white ; unknown ;42998,00;USD
"Mercedes-Benz Metris Passenger Van Standard Roof 126"" Wheelbase Worker";2019;23282 miles;0;black ; black ;23998,00;USD
"Ram 1500 Limited Crew Cab 5'7"" Box 4WD";2019;26992 miles;0;white ; black ;49999,00;USD
Jeep Wrangler Unlimited Sahara (JK);2018;48374 miles;0;silver ; black ;36898,00;USD
Nissan Altima SL FWD;2019;40995 miles;0;black ; black ;18498,00;USD
Kia Optima LX Automatic;2020;22519 miles;0;white ; black ;15500,00;USD
Toyota Corolla LE CVT;2020;27078 miles;0;white ; unknown ;16497,00;USD
Dodge Grand Caravan SXT;2019;47064 miles;0;white ; black ;15991,00;USD
Toyota Camry LE Automatic;2019;31506 miles;0;white ; black ;16486,00;USD
Ford Focus SE Hatchback;2014;113892 miles;0;white ; unknown ;5785,00;USD
Dodge Grand Caravan SXT;2019;38878 miles;0;silver ; black ;14447,00;USD
Nissan Rogue SV FWD;2019;174 miles;0;white ; black ;18490,00;USD
Chevrolet Malibu LT with 1LT;2019;2665 miles;0;white ; black ;15977,00;USD
Ford Fusion SEL FWD;2019;17837 miles;0;white ; unknown ;17695,00;USD
Kia Soul + Automatic;2019;32354 miles;0;red ; black ;11400,00;USD
Honda Civic LX Sedan Automatic;2012;138989 miles;1;silver ; gray ;4900,00;USD
Nissan Rogue SV FWD;2019;8847 miles;0;gray ; black ;17995,00;USD
Dodge Grand Caravan SXT;2019;33246 miles;0;black ; black ;17450,00;USD
Ford Fusion Hybrid SE FWD;2019;26904 miles;0;black ; beige ;15590,00;USD
Kia Soul + Automatic;2019;27554 miles;0;silver ; black ;12990,00;USD
Dodge Journey GT AWD;2019;26347 miles;0;black ; black ;20999,00;USD
Nissan Sentra SV CVT;2019;26830 miles;0;white ; black ;13097,00;USD
Nissan Versa SV Sedan CVT;2019;26502 miles;0;black ; black ;7991,00;USD
Kia Soul + Automatic;2019;22000 miles;0;red ; black ;12198,00;USD
Toyota Highlander XLE V6 AWD;2017;25154 miles;0;black ; beige ;23995,00;USD
Ford Fusion Hybrid SE FWD;2019;29476 miles;0;black ; black ;15999,00;USD
Nissan Altima SL FWD;2019;27720 miles;0;gray ; black ;17500,00;USD
Ford Fusion Hybrid SE FWD;2019;26354 miles;0;red ; black ;15333,00;USD
Honda Civic LX Sedan CVT;2017;37068 miles;0;black ; beige ;14455,00;USD
Ford Fusion Hybrid SE FWD;2019;37132 miles;0;white ; unknown ;14995,00;USD
Honda Accord Hybrid Touring Sedan;2017;129781 miles;2;black ; black ;13305,00;USD
Dodge Grand Caravan SXT;2019;31510 miles;0;gray ; black ;15984,00;USD
Kia Soul + Automatic;2019;35689 miles;0;white ; black ;11688,00;USD
Nissan Rogue SV FWD;2019;17906 miles;0;black ; black ;18070,00;USD
Chevrolet Express Passenger 3500 LT LWB;2019;23130 miles;0;white ; gray ;22595,00;USD
Kia Soul + Automatic;2019;46991 miles;0;white ; black ;14000,00;USD
Toyota Corolla LE CVT;2020;18223 miles;1;white ; gray ;14300,00;USD
Dodge Grand Caravan SXT;2019;38079 miles;0;black ; black ;15900,00;USD
Nissan Versa SV Sedan CVT;2019;26502 miles;0;black ; black ;7991,00;USD
Dodge Grand Caravan SXT;2019;31304 miles;0;white ; black ;17995,00;USD
Nissan Altima 2.5 S;2015;60384 miles;2;gray ; black ;8259,00;USD
Chevrolet Express Passenger 3500 LT LWB;2019;26865 miles;0;white ; gray ;22695,00;USD
Nissan Rogue SV FWD;2019;23388 miles;0;white ; black ;17697,00;USD
Dodge Challenger R/T RWD;2019;22070 miles;1;black ; black ;24679,00;USD
Chevrolet Malibu LT;2020;5801 miles;0;gray ; black ;18988,00;USD
Kia Optima LX Automatic;2020;15464 miles;0;gray ; black ;14990,00;USD
Dodge Grand Caravan SXT;2019;45034 miles;0;black ; black ;15541,00;USD
Toyota Camry LE Automatic;2019;31506 miles;0;white ; black ;16486,00;USD
Chevrolet Express Passenger 3500 LT LWB;2019;27768 miles;0;white ; gray ;22790,00;USD
Dodge Grand Caravan SXT;2019;42607 miles;0;gray ; black ;17014,00;USD
Chrysler 300 Limited RWD;2019;18805 miles;0;black ; black ;21988,00;USD
Kia Optima LX;2019;24707 miles;0;black ; black ;14800,00;USD
Dodge Grand Caravan SXT;2019;28796 miles;0;white ; black ;18197,00;USD
Dodge Grand Caravan SXT;2019;34088 miles;0;black ; black ;14991,00;USD
Nissan Rogue SV FWD;2019;35060 miles;0;black ; black ;16495,00;USD
Hyundai Elantra SEL 2.0L Automatic;2019;37206 miles;1;black ; gray ;10875,00;USD
Dodge Grand Caravan SXT;2019;21033 miles;0;red ; black ;18495,00;USD
Dodge Grand Caravan SXT;2019;40882 miles;0;silver ; black ;14557,00;USD
Dodge Grand Caravan SXT;2019;32658 miles;0;red ; black ;17000,00;USD
Nissan Sentra SV CVT;2017;44909 miles;0;black ; black ;10999,00;USD
Toyota 4Runner SR5 4WD;2019;29678 miles;0;silver ; black ;29500,00;USD
Hyundai Elantra SEL 2.0L Automatic;2019;28290 miles;0;white ; beige ;12989,00;USD
Hyundai Elantra SEL 2.0L Automatic;2019;41477 miles;1;black ; gray ;14327,00;USD
Hyundai Elantra GT Hatchback Automatic;2017;56289 miles;0;silver ; black ;9250,00;USD
Nissan Sentra SV CVT;2019;31624 miles;0;white ; black ;13000,00;USD
Honda Accord LX Sedan CVT;2017;38375 miles;1;gray ; black ;14995,00;USD
Toyota Corolla LE CVT;2020;6302 miles;0;gray ; gray ;15977,00;USD
Nissan Sentra SV CVT;2017;44909 miles;0;black ; black ;10999,00;USD
Nissan Rogue SV FWD;2019;37627 miles;0;silver ; black ;16697,00;USD
Toyota Camry LE Automatic;2019;27738 miles;0;white ; black ;15898,00;USD
Nissan Sentra SV CVT;2019;22420 miles;0;gray ; black ;12995,00;USD
Dodge Grand Caravan SXT;2019;34745 miles;0;black ; black ;15600,00;USD
Kia Soul + Automatic;2019;34626 miles;0;gray ; black ;11999,00;USD
Nissan Sentra SV CVT;2019;38195 miles;0;white ; black ;11445,00;USD
Volkswagen Passat 2.0T Wolfsburg Edition;2019;37859 miles;0;silver ; black ;13497,00;USD
Kia Soul + Automatic;2019;16836 miles;0;white ; black ;12591,00;USD
Lexus ES ES 350;2008;164187 miles;0;black ; beige ;6064,00;USD
Toyota Corolla L CVT;2017;64968 miles;0;black ; gray ;9900,00;USD
Kia Forte LX Sedan Automatic;2018;61563 miles;1;white ; black ;9285,00;USD
Hyundai Elantra GLS Sedan Automatic;2013;79672 miles;1;silver ; gray ;6999,00;USD
Dodge Grand Caravan SXT;2019;51381 miles;0;white ; black ;16469,00;USD
Ford Fusion Hybrid SE FWD;2019;24635 miles;0;silver ; gray ;15391,00;USD
Chevrolet Express Passenger 3500 LT LWB;2019;23130 miles;0;white ; gray ;22595,00;USD
Toyota Camry LE Automatic;2019;29085 miles;0;black ; unknown ;16400,00;USD
Hyundai Elantra GT Hatchback Automatic;2017;56289 miles;0;silver ; black ;9250,00;USD
Dodge Grand Caravan SXT;2019;41260 miles;0;black ; black ;16482,00;USD
Ford Fusion Hybrid SE FWD;2019;31239 miles;1;white ; black ;16784,00;USD
Honda Civic Si Sedan Manual;2017;38724 miles;0;gray ; black ;16995,00;USD
Dodge Grand Caravan SXT;2019;34099 miles;0;silver ; black ;16795,00;USD
Ford Fusion SE FWD;2019;96 miles;0;black ; black ;17290,00;USD
Kia Optima LX;2019;24707 miles;0;black ; black ;14800,00;USD
Ford Focus SE Sedan;2014;90846 miles;0;white ; beige ;6499,00;USD
"Ram 1500 Big Horn/Lone Star Crew Cab 5'7"" Box 2WD";2019;1044 miles;0;silver ; black ;24500,00;USD
Nissan Sentra SV CVT;2019;25202 miles;0;gray ; black ;11995,00;USD
Volkswagen Passat V6 SEL Premium DSG;2017;52563 miles;0;silver ; gray ;15998,00;USD
Dodge Grand Caravan  ;2019;32457 miles;0;blue ; black ;18885,00;USD
Mercedes-Benz GLC GLC 43 AMG 4MATIC SUV;2017;52770 miles;0;silver ; beige ;36885,00;USD
Nissan Altima 2.5 SL;2017;24020 miles;0;white ; black ;17448,00;USD
Kia Optima LX 2.4L Automatic;2012;111596 miles;0;silver ; beige ;7771,00;USD
Jeep Wrangler Unlimited Sport S;2020;6 miles;0;red ; black ;37888,00;USD
"Ram 1500 Rebel Quad Cab 6'4"" Box 4WD";2019;29569 miles;0;silver ; black ;37488,00;USD
Honda Insight LX;2013;79865 miles;0;unknown ; unknown ;7985,00;USD
Jeep Wrangler Unlimited Sport;2015;139144 miles;0;silver ; black ;28050,00;USD
Toyota 4Runner SR5 V6 RWD;2009;221767 miles;1;gray ; black ;7900,00;USD
Jeep Cherokee Limited 4WD;2019;11327 miles;0;white ; black ;26895,00;USD
Kia Sedona EX;2020;7400 miles;0;gray ; gray ;28652,00;USD
Ford Fusion SEL FWD;2019;32867 miles;0;gold ; gray ;16490,00;USD
Dodge Grand Caravan  ;2019;36567 miles;0;white ; black ;18499,00;USD
Ford Fusion SE FWD;2016;65734 miles;0;blue ; unknown ;11249,00;USD
Nissan Sentra SV CVT;2016;48067 miles;0;white ; black ;10989,00;USD
Honda Accord EX-L 1.5T CVT;2018;26211 miles;0;silver ; black ;21695,00;USD
Toyota Highlander XLE V6 FWD;2018;10895 miles;0;gray ; unknown ;29995,00;USD
Ford Focus SE Hatchback;2017;28164 miles;0;red ; black ;13595,00;USD
Toyota Highlander XLE V6 AWD;2017;31736 miles;0;brown ; black ;31293,00;USD
Ford Mustang EcoBoost Fastback;2017;49416 miles;0;red ; black ;20995,00;USD
Honda Civic EX Hatchback CVT;2018;31749 miles;0;silver ; black ;22999,00;USD
Mercedes-Benz GLS GLS 550 4MATIC;2017;38828 miles;0;white ; beige ;51995,00;USD
Lexus LS LS 460 RWD;2017;15244 miles;0;black ; gray ;46995,00;USD
Nissan Rogue S FWD;2011;133263 miles;0;gray ; black ;6499,00;USD
Nissan Altima 2.5 SR;2018;29119 miles;1;black ; black ;16099,00;USD
Honda Civic LX Sedan CVT;2018;39589 miles;0;black ; black ;15799,00;USD
Kia Soul Base Automatic;2016;41889 miles;0;black ; black ;9299,00;USD
Toyota Corolla LE CVT;2020;13233 miles;0;unknown ; unknown ;15500,00;USD
Nissan Altima 2.5 S;2015;60384 miles;2;gray ; black ;8259,00;USD
Kia Sportage LX FWD;2017;139210 miles;1;blue ; black ;8950,00;USD
Toyota Camry LE Automatic;2019;23165 miles;0;white ; black ;17948,00;USD
Honda Civic LX Sedan CVT;2017;31121 miles;0;white ; beige ;14712,00;USD
Nissan Rogue SV FWD;2019;35060 miles;0;black ; black ;16495,00;USD
Toyota Corolla LE CVT;2020;10350 miles;0;white ; gray ;15995,00;USD
Ford Fusion Hybrid SE FWD;2019;32352 miles;0;silver ; black ;14950,00;USD
Ford Fusion SEL FWD;2019;39154 miles;0;silver ; black ;13944,00;USD
Nissan Rogue SV AWD;2017;43164 miles;2;blue ; black ;13999,00;USD
Nissan Rogue Sport S FWD;2019;32504 miles;0;white ; black ;14393,00;USD
Toyota Camry Hybrid LE;2018;89961 miles;0;black ; unknown ;14998,00;USD
Chevrolet Express Passenger 3500 LT LWB;2019;27768 miles;0;white ; gray ;22790,00;USD
Toyota Camry LE Automatic;2019;33714 miles;0;white ; black ;15999,00;USD
Toyota Corolla LE CVT;2020;17410 miles;0;white ; black ;15668,00;USD
Toyota Corolla LE CVT;2020;17939 miles;0;black ; black ;14941,00;USD
Dodge Grand Caravan SXT;2019;45034 miles;0;black ; black ;15541,00;USD
Mercedes-Benz SL SL 500 Roadster;2005;19340 miles;0;black ; black ;22950,00;USD
Chevrolet Malibu LS;1997;167832 miles;0;white ; beige ;1500,00;USD
Nissan Sentra SV CVT;2018;31980 miles;1;red ; black ;9500,00;USD
Jeep Grand Cherokee Laredo 4WD;1999;170196 miles;0;black ; beige ;3985,00;USD
Dodge Grand Caravan SXT;2019;42607 miles;0;gray ; black ;17014,00;USD
Kia Forte LX Sedan Automatic;2017;111504 miles;0;gray ; gray ;6599,00;USD
Ford Fusion Hybrid SE FWD;2019;41216 miles;0;gray ; black ;14391,00;USD
Dodge Grand Caravan SXT;2019;28796 miles;0;white ; black ;18197,00;USD
Honda Accord LX Sedan CVT;2017;21606 miles;0;white ; beige ;14900,00;USD
Nissan Sentra SV CVT;2019;37176 miles;0;black ; black ;11800,00;USD
Kia Soul Base Automatic;2013;126315 miles;0;black ; black ;4999,00;USD
Dodge Grand Caravan SXT;2019;34088 miles;0;black ; black ;14991,00;USD
Kia Soul + Automatic;2019;46991 miles;0;white ; black ;14000,00;USD
Nissan Sentra SV CVT;2019;26830 miles;0;white ; black ;13097,00;USD
Ford Escape SE FWD;2017;36765 miles;0;white ; black ;13787,00;USD
Ford F-150 XLT SuperCrew 5.5' Box 4WD;2019;21375 miles;0;black ; unknown ;36995,00;USD
Ford Fusion SE FWD;2015;113971 miles;1;black ; unknown ;7499,00;USD
Mercedes-Benz Sprinter Passenger Van 2500 Standard Roof SWB;2013;84182 miles;0;white ; black ;21995,00;USD
Kia Optima LX;2019;24707 miles;0;black ; black ;14800,00;USD
Ford Fusion Hybrid SE FWD;2019;26904 miles;0;black ; beige ;15590,00;USD
Ford F-150 XLT SuperCrew 5.5' Box 4WD;2017;32674 miles;0;gray ; gray ;31559,00;USD
Bentley Continental Supersports Coupe;2010;34146 miles;0;blue ; red ;69900,00;USD
Bentley Flying Spur W12 Sedan;2008;63000 miles;0;white ; unknown ;38500,00;USD
Ford Explorer XLT FWD;2017;20825 miles;0;white ; black ;19149,00;USD
Chevrolet Cruze LT with 1SD Sedan Automatic;2017;38671 miles;0;blue ; black ;10995,00;USD
Ford Fusion SE FWD;2013;98073 miles;0;gray ; black ;5991,00;USD
Toyota Corolla LE CVT;2017;37913 miles;2;silver ; black ;9997,00;USD
Toyota Corolla LE CVT;2020;10267 miles;0;white ; unknown ;14999,00;USD
Hyundai Elantra SE 2.0L Sedan Automatic;2017;79835 miles;0;black ; gray ;6995,00;USD
Toyota Corolla LE CVT;2017;76974 miles;1;black ; unknown ;11500,00;USD
FIAT 500 Lounge Hatchback;2018;4769 miles;1;white ; black ;11995,00;USD
Honda Civic LX Sedan CVT;2017;33607 miles;0;black ; black ;13995,00;USD
Ford Escape SE 4WD;2017;61651 miles;0;black ; black ;12590,00;USD
Nissan Rogue Sport S FWD;2019;32504 miles;0;white ; black ;14393,00;USD
Volvo XC70 3.2L;2008;107389 miles;1;gray ; unknown ;5995,00;USD
Hyundai Sonata Sport 2.4L;2017;187322 miles;0;white ; beige ;8000,00;USD
Ford F-150 XL SuperCrew 5.5' Box 4WD;2018;86280 miles;1;white ; unknown ;28991,00;USD
Chevrolet Volt Hatch;2013;127556 miles;0;black ; black ;6980,00;USD
Ford F-150 XLT SuperCrew 5.5' Box 4WD;2017;17563 miles;0;white ; gray ;34000,00;USD
Ford Explorer XLT 4WD;2017;32292 miles;0;red ; black ;25988,00;USD
Honda CR-V LX AWD;2014;76317 miles;2;black ; black ;11399,00;USD
Chevrolet Silverado 1500 LS Extended Cab Standard Box 2WD;2010;167323 miles;1;white ; gray ;6000,00;USD
Ford Fusion Hybrid SE FWD;2019;29476 miles;0;black ; black ;15999,00;USD
Toyota Camry LE Automatic;2019;12636 miles;1;gray ; gray ;18274,00;USD
Nissan Rogue 2017.5 SL FWD;2017;29042 miles;0;white ; black ;16987,00;USD
Dodge Grand Caravan SXT;2019;44325 miles;0;white ; black ;12999,00;USD
Ford F-150 XL SuperCrew 5.5' Box 4WD;2018;40326 miles;0;black ; gray ;24250,00;USD
Ford Fusion Hybrid SE FWD;2019;33478 miles;0;gray ; gray ;14857,00;USD
Toyota Corolla LE CVT;2020;11663 miles;0;silver ; unknown ;17929,00;USD
Chrysler 300 Limited RWD;2019;18805 miles;0;black ; black ;21988,00;USD
Toyota Camry SE Automatic;2019;24071 miles;0;black ; unknown ;18902,00;USD
Toyota Camry SE Automatic;2019;38665 miles;0;silver ; gray ;18220,00;USD
Toyota Camry SE Automatic;2019;37576 miles;0;black ; gray ;18490,00;USD
Porsche Boxster S Manual;2002;33328 miles;0;silver ; gray ;16950,00;USD
Volkswagen Passat TDI SEL Premium Sedan DSG;2013;91571 miles;0;gray ; unknown ;8995,00;USD
Chrysler 300 Limited AWD;2019;11001 miles;0;white ; black ;24983,00;USD
Nissan Rogue SV FWD;2019;35560 miles;0;white ; black ;15453,00;USD
Ford F-150 XLT SuperCrew 5.5' Box 4WD;2018;28143 miles;0;silver ; gray ;32894,00;USD
Nissan Frontier SV Crew Cab 2WD Automatic;2019;26429 miles;0;white ; gray ;19500,00;USD
Chevrolet Malibu LT;2020;15589 miles;0;white ; black ;18997,00;USD
Kia Forte EX Sedan Automatic;2011;99404 miles;0;white ; brown ;4978,00;USD
Dodge Grand Caravan SXT;2019;37484 miles;0;white ; black ;16900,00;USD
Hyundai Genesis 3.8;2014;88878 miles;0;black ; black ;9991,00;USD
Honda Civic EX Sedan CVT;2017;26714 miles;0;red ; black ;16575,00;USD
Ford F-150 XLT SuperCrew 5.5' Box 4WD;2019;31436 miles;0;white ; unknown ;36995,00;USD
Honda CR-V LX AWD;2014;76317 miles;2;black ; black ;11399,00;USD
Chevrolet Volt Hatch;2013;49565 miles;0;white ; black ;10450,00;USD
Nissan Sentra SV CVT;2019;27697 miles;0;silver ; black ;11999,00;USD
Dodge Grand Caravan SXT;2019;30258 miles;0;white ; black ;16293,00;USD
Chrysler 300 Limited AWD;2019;21592 miles;1;black ; black ;19995,00;USD
Honda Civic LX Sedan CVT;2017;33607 miles;0;black ; black ;13995,00;USD
Ford Fusion Hybrid Titanium FWD;2019;31963 miles;0;black ; black ;17590,00;USD
Dodge Grand Caravan SXT;2019;38988 miles;0;gray ; black ;18273,00;USD
Nissan Rogue SV FWD;2019;39566 miles;0;gray ; black ;14664,00;USD
Nissan Altima 2.5 SV;2015;96070 miles;3;white ; beige ;8488,00;USD
Hyundai Elantra Sport 1.6T Sedan Manual;2017;29319 miles;0;blue ; black ;13599,00;USD
Nissan Altima S FWD;2019;19576 miles;0;black ; black ;16495,00;USD
Toyota Corolla LE CVT;2020;30515 miles;0;silver ; black ;16988,00;USD
Lexus SC SC 430 Convertible;2006;127050 miles;0;black ; unknown ;10980,00;USD
Volvo XC70 3.2L;2008;107389 miles;1;gray ; unknown ;5995,00;USD
Ford Fusion Hybrid SE FWD;2019;17612 miles;0;black ; black ;17295,00;USD
Dodge Grand Caravan SXT;2019;22745 miles;1;silver ; black ;17491,00;USD
Toyota Corolla LE CVT;2019;26770 miles;0;black ; unknown ;13393,00;USD
Hyundai Elantra SE 2.0L Sedan Automatic (alt);2017;48742 miles;1;white ; beige ;8995,00;USD
INFINITI JX35 AWD;2013;168586 miles;0;gray ; gray ;7804,00;USD
Ford Escape SE 4WD;2017;128249 miles;0;gray ; black ;9999,00;USD
Nissan Sentra SV CVT;2019;24632 miles;0;silver ; black ;14100,00;USD
Hyundai Elantra SE 2.0L Sedan Automatic (alt);2017;122442 miles;1;gray ; gray ;7499,00;USD
Mercedes-Benz Sprinter Passenger Van 2500 Standard Roof SWB;2013;84182 miles;0;white ; black ;21995,00;USD
Chevrolet Express Passenger 3500 LT LWB;2019;34100 miles;0;white ; gray ;20700,00;USD
Ford Fusion SE AWD;2019;25802 miles;0;black ; black ;16900,00;USD
Nissan Altima 2.5 S Sedan CVT;2011;147450 miles;1;black ; black ;4299,00;USD
Dodge Grand Caravan SXT;2019;43670 miles;0;white ; black ;17472,00;USD
Nissan Rogue S FWD;2013;85857 miles;1;white ; black ;6900,00;USD
Hyundai Elantra SE 2.0L Sedan Automatic (alt);2017;21095 miles;1;blue ; gray ;9700,00;USD
Honda Civic EX-T Sedan CVT;2017;22890 miles;0;white ; gray ;16987,00;USD
Kia Optima EX;2015;90485 miles;0;black ; gray ;8944,00;USD
Ford Fusion Hybrid SE FWD;2019;34034 miles;0;white ; unknown ;15545,00;USD
Dodge Grand Caravan SXT;2019;44273 miles;0;silver ; black ;16495,00;USD
GMC Terrain SLT FWD;2019;46445 miles;0;black ; black ;15995,00;USD
Nissan Rogue SV FWD;2019;29189 miles;0;gray ; black ;15100,00;USD
Dodge Grand Caravan SXT;2019;34451 miles;0;white ; black ;16400,00;USD
Audi A6 Prestige 3.0;2019;9596 miles;0;black ; brown ;56988,00;USD
Nissan Maxima Platinum 3.5L;2019;8512 miles;0;red ; beige ;33900,00;USD
Toyota Sienna LE 8-Passenger FWD;2017;23714 miles;1;gray ; gray ;22595,00;USD
Maserati GranTurismo MC Centennial Edition Convertible;2017;3955 miles;0;black ; unknown ;109995,00;USD
Aston Martin Vanquish S Volante;2018;6441 miles;0;red ; black ;189995,00;USD
Ferrari Portofino Convertible;2019;90 miles;0;red ; unknown ;244995,00;USD
Cadillac ATS Premium Luxury Sedan 3.6 RWD;2018;17097 miles;0;silver ; gray ;26000,00;USD
GMC Terrain SLE-1 AWD;2013;93788 miles;0;blue ; black ;10900,00;USD
Mercedes-Benz E-Class E 300 Luxury 4MATIC Sedan;2017;21604 miles;0;blue ; beige ;32992,00;USD
Mercedes-Benz GLE GLE 350 4MATIC SUV;2017;33433 miles;0;gray ; black ;35492,00;USD
Lexus GX GX 460;2014;63500 miles;1;black ; unknown ;25991,00;USD
Mercedes-Benz GLE GLE 350 4MATIC SUV;2017;36990 miles;1;white ; beige ;35991,00;USD
Honda Civic LX Sedan CVT;2017;34408 miles;0;blue ; unknown ;15990,00;USD
Honda Accord Sport Special Edition Sedan CVT;2017;21998 miles;0;blue ; unknown ;20999,00;USD
Lexus RX RX 350 AWD;2012;93334 miles;0;gray ; black ;15900,00;USD
GMC Acadia SLT with SLT-1 FWD;2016;37706 miles;1;white ; gray ;19750,00;USD
Audi S3 Premium Plus;2017;44598 miles;0;black ; black ;29997,00;USD
Audi A5 Sport Coupe Tiptronic;2017;27010 miles;0;gray ; black ;25695,00;USD
Chevrolet Blazer 3LT AWD;2019;20673 miles;0;white ; black ;34000,00;USD
Chevrolet Suburban LS 4WD;2019;44864 miles;0;black ; black ;41000,00;USD
Chevrolet Trax LT AWD;2018;5950 miles;0;gray ; black ;18552,00;USD
Chevrolet Equinox LT with 1LT AWD;2018;31029 miles;0;gray ; black ;20745,00;USD
Chevrolet Silverado 1500 LT Double Cab Standard Box 4WD;2017;22099 miles;0;silver ; black ;32888,00;USD
Lincoln MKZ Hybrid Select FWD;2017;40757 miles;0;silver ; black ;20445,00;USD
Nissan Sentra SR CVT;2017;34199 miles;0;red ; black ;12934,00;USD
Nissan Armada SL RWD;2019;37387 miles;0;gray ; black ;34994,00;USD
Mercedes-Benz GLC GLC 300 SUV RWD;2017;33084 miles;0;unknown ; beige ;28866,00;USD
Jeep Patriot High Altitude FWD;2017;35495 miles;0;gray ; gray ;16230,00;USD
Kia Optima LX;2019;37174 miles;0;silver ; black ;16850,00;USD
Toyota Corolla SE CVT;2017;109325 miles;0;silver ; gray ;10000,00;USD
Nissan Altima SL FWD;2019;32028 miles;0;gray ; black ;18946,00;USD
Dodge Grand Caravan SXT;2019;38261 miles;0;white ; black ;17950,00;USD
Jeep Patriot Sport FWD w/ Air Conditioning;2010;165943 miles;2;black ; gray ;3500,00;USD
Ford Fusion Sport FWD;2010;121921 miles;0;gray ; unknown ;5000,00;USD
Chevrolet Malibu LT;2020;5644 miles;0;gray ; gray ;19988,00;USD
Toyota Camry SE I4 Automatic;2017;167993 miles;0;gray ; black ;9998,00;USD
Ford Fiesta SE Sedan;2019;25648 miles;0;red ; black ;8588,00;USD
Ford Fusion SEL FWD;2019;18215 miles;0;silver ; black ;17999,00;USD
Toyota Corolla LE CVT;2020;20154 miles;0;silver ; black ;16990,00;USD
Ford Escape SE FWD;2017;30595 miles;0;blue ; black ;13944,00;USD
